round,build,mean_ms,p95,present,avm_submit,fps,frames
1,seedling,20.9,24.6,0.4,20.5,47.8,1152
1,seedling_before,21.7,25.9,0.4,21.3,46,1109
1,seedling_orig,24.2,36.8,0.4,23.8,41.3,1157
2,seedling,21.3,25.2,0.4,20.9,46.9,1162
2,seedling_before,22.3,27.8,0.4,21.9,44.9,1147
2,seedling_orig,21.5,26.4,0.4,21.1,46.5,1157
3,seedling,20.3,23.3,0.4,20,49.2,1166
3,seedling_before,20.3,23,0.4,20,49.2,1164
3,seedling_orig,21.7,25.5,0.4,21.3,46.1,1162
4,seedling,21.3,29.3,0.4,21,46.9,1163
4,seedling_before,20.7,23.8,0.4,20.3,48.3,1163
4,seedling_orig,21.4,25.1,0.4,21,46.8,1163
5,seedling,20.5,24.8,0.4,20.1,48.8,1162
5,seedling_before,21.2,24.5,0.4,20.9,47.1,1163
5,seedling_orig,21.8,25.3,0.4,21.4,45.8,1156
6,seedling,21.4,24.5,0.4,21,46.7,1164
6,seedling_before,21.2,24,0.4,20.9,47.1,1166
6,seedling_orig,21.5,25.1,0.4,21.1,46.5,1162
